순위,제목,평점,예매율,개봉일
1,분노의 질주: 라이드 오어 다이,7.6,46.0%,23.05.17
2,가디언즈 오브 갤럭시: Volume 3,8.9,21.5%,23.05.03
3,문재인입니다,7.8,6.8%,23.05.10
4,슈퍼 마리오 브라더스,8.2,3.3%,23.04.26
5,스즈메의 문단속,7.3,3.3%,23.03.08
6,슬픔의 삼각형,8.6,2.2%,23.05.17
7,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,9.2,1.9%,23.05.04
8,드림,7.7,1.6%,23.04.26
9,롱디,7.1,1.2%,23.05.10
10,존 윅 4,7.5,1.0%,23.04.12
11,유랑지구2,3.6,1.0%,23.05.10
12,메리 마이 데드 바디,7.0,0.5%,23.05.17
13,옥수역귀신,6.2,0.3%,23.04.19
14,남은 인생 10년,8.7,0.3%,23.05.24
15,스트리머,4.3,0.2%,23.05.10
16,거울 속 외딴 성,8.8,0.2%,23.04.12
17,토리와 로키타,8.5,0.2%,23.05.10
18,"조제, 호랑이 그리고 물고기들",8.4,0.2%,23.05.10
19,클로즈,7.1,0.2%,23.05.03
20,칠중주: 홍콩 이야기,7.8,0.2%,23.05.11
